"name","beschaeftigte_jahr","beschaeftigte","umsatz","adressecheck","beschreibung","adressegesamt","adresse","plz","land","ansprechperson","tel","email","website","seite","adressegesamtat","long","lat","geocodedadress","sparten","typ"
"Thales","2016","308","2016: 87,72 Mio. EUR","Handelskai 92
1200 Wien",NA,"Handelskai 92, 1200 Wien","Handelskai 92","1200 Wien","Austria | Österreich","Christian Loew","T +43 / 664 / 850 13 44","E christian.loew@thalesgroup.com","W www.thalesgroup.com/austria",130,"Handelskai 92, 1200 Wien , Österreich",16.3850288,48.24236,"handelskai 92, 1200 wien, austria","a","Waffen & Munition"
"Trixy Aviation Products GmbH","2017","0",NA,"Eschbühel 10 F
6850 Dornbirn, Vorarlberg",NA,"Eschbuehel 10 F, 6850 Dornbirn","Eschbuehel 10 F","6850 Dornbirn","Austria | Österreich","Rainer Farrag","T +43 / 664 / 396 86 05","E rainer@trixyaviation.com","W www.trixyaviation.com",131,"Eschbuehel 10 F, 6850 Dornbirn , Österreich",9.7580782,47.4279387,"eschbühel 10f, 6850 dornbirn, austria","a","VEHICLES & ACCESSORIES"
"TÜV AUSTRIA CERT GMBH","2016","60",NA,"Deutschstraße 10
1230 Wien",NA,"Deutschstraße 10, 1230 Wien","Deutschstraße 10","1230 Wien","Austria | Österreich",NA,"T +43 / 504 54 - 0","E office@tuv.at","W www.tuv.at",132,"Deutschstraße 10, 1230 Wien , Österreich",16.3569001,48.1417282,"deutschstraße 10, 1230 wien, austria","a","ENGINEERING SERVICES & TRAINING"
"Ulbrichts Witwe GmbH","2017","140","2016/17: 38,62 Mio. EUR","Kaufing 34
4690 Schwanenstadt, Oberösterreich",NA,"Kaufing 34, 4690 Schwanenstadt","Kaufing 34","4690 Schwanenstadt","Austria | Österreich",NA,"T +43 / 7673 / 27 81 - 0",NA,"W www.ulbrichts.com",133,"Kaufing 34, 4690 Schwanenstadt , Österreich",13.8024221,48.0565585,"kaufing 34, 4690 kaufing, austria","a","PERSONAL EQUIPMENT"
"Valentin Tusch GmbH Sonderfahrzeugbau","#N/A","n.v.","#N/A","#N/A",NA,"Plescherken 18, 9074 Keutschach","Plescherken 18","9074 Keutschach","Austria | Österreich",NA,"T +43 / 4273 / 210 07","E valentin.tusch@security-car.com","W www.security-car.com",134,"Plescherken 18, 9074 Keutschach , Österreich",14.1469539,46.586256,"plescherken 18, 9074 plescherken, austria","a","VEHICLES & ACCESSORIES"
"Vexcel Imaging GmbH","2017","41","2016/17: 23,70 Mio. EUR","Anzengrubergasse 8
8010 Graz, Steiermark",NA,"Anzengrubergasse 8, 8010 Graz","Anzengrubergasse 8","8010 Graz","Austria | Österreich",NA,"T +43 / 316 / 849 066 - 0","E info@vexcel-imaging.com","W www.vexcel-imaging.com",135,"Anzengrubergasse 8, 8010 Graz , Österreich",15.4423373,47.0620219,"anzengrubergasse 8, 8010 graz, austria","a","ENGINEERING EQUIPMENT"
"Viewpointsystem Gmbh","2017","21",NA,"Franz-Josefs-Kai 47/3. OG
1010 Wien",NA,"Franz-Josefs-Kai 47, 1010 Wien","Franz-Josefs-Kai 47","1010 Wien","Austria | Österreich",NA,"T +43 / 1 / 208 90 90","E office@viewpointsystem.com","W viewpointsystem.com",136,"Franz-Josefs-Kai 47, 1010 Wien , Österreich",16.3721513,48.2153546,"franz-josefs-kai 47, 1010 wien, austria","a","COMMUNICATION EQUIPMENT"
"Villinger GmbH","2016","6",NA,"Gewerbepark 6
6142 Mieders, Tirol",NA,"Gewerbepark 6, 6142 Mieders","Gewerbepark 6","6142 Mieders","Austria | Österreich","Markus Villinger","T +43 / 5225 / 644 55","E info@villinger.com","W www.villinger.com",137,"Gewerbepark 6, 6142 Mieders , Österreich",11.365708,47.1571972,"gewerbepark 6, 6142 mieders, austria","a","ENGINEERING EQUIPMENT"
"VOERE Präzisionstechnik GmbH","2017","66",NA,"Untere Sparchen 56
6330 Kufstein, Tirol",NA,"Untere Sparchen 56, 6330 Kufstein","Untere Sparchen 56","6330 Kufstein","Austria | Österreich","Sven RuhlandT +43 / 5372 / 625 47E office@voere.atW www.voere.com",NA,NA,NA,138,"Untere Sparchen 56, 6330 Kufstein , Österreich",12.1824082,47.5960823,"untere sparchen 56, 6330 kufstein, austria","a","Waffen & Munition"
"Waagner-Biro Bridge Systems AG","2017","36","2017: 15,16 Mio. EUR","Leonard-Bernstein-Straße 10
1220 Wien",NA,"Leonard -Bernstein-Strasse 10, 1220 Wien","Leonard -Bernstein-Strasse 10","1220 Wien","Austria | Österreich","Oswald Hutter","T +43 / 1 / 288 44 - 208","E oswald.hutter@waagner-biro.at","W www.waagner-biro.com",139,"Leonard -Bernstein-Strasse 10, 1220 Wien , Österreich",16.413363,48.236467,"leonard-bernstein-straße 10, 1220 wien, austria","a","ENGINEERING EQUIPMENT"
"WFL Millturn Technologies","2016","326","2016: 87,89 Mio. EUR","Wahringerstr. 36
4030 Linz, Oberösterreich",NA,"Wahringerstraße 36, 4030 Linz","Wahringerstraße 36","4030 Linz","Austria | Österreich",NA,"T +43 / 732 / 69 13 - 0","E office@wfl.at","W www.wfl.at",140,"Wahringerstraße 36, 4030 Linz , Österreich",14.3257497,48.2672543,"bg06, wahringerstraße 36, 4030 linz, austria","a","ENGINEERING EQUIPMENT"
"Zoerkler Gears GmbH & Co KG","2017","91",NA,"Friedrich Zoerkler Straße 1
7093 Jois, Burgenland",NA,"Friedrich Zoerkler Strasse 1, 7093 Jois","Friedrich Zoerkler Strasse 1","7093 Jois","Austria | Österreich","Bernhard Wagner","T +43 / 2160 / 204 00","E office@zoerkler.at","W www.zoerkler.at",141,"Friedrich Zoerkler Strasse 1, 7093 Jois , Österreich",16.8003493,47.9653164,"friedrich zoerkler str. 1, 7093 jois, austria","a","VEHICLES & ACCESSORIES"
"MAGNA STEYR AG","#N/A","n.v.","#N/A","#N/A",NA,"Liebenauer Hauptstraße 317, 8041 Graz, Steiermark","Liebenauer Hauptstraße 317, 8041 Graz, Steiermark","8041 Graz","Österreich",NA,NA,NA,NA,NA,"Liebenauer Hauptstraße 317, 8041 Graz, Steiermark , Österreich",15.4741699,47.0194208,"liebenauer hauptstraße 317, 8041 graz, austria","a","VEHICLES & ACCESSORIES"
"3D Elements GmbH","2015","8",NA,"Sparkassenplatz 5
6020 Innsbruck, Tirol","3D-Fotostudios, 3D-Datenverarbeitung","Sparkassenplatz 5, 6020 Innsbruck","Sparkassenplatz 5","6020 Innsbruck","Austria | Österreich","Dominik Leitner","T +43 / 664 / 121 98 88","E service@3delements.com","W www.3delements.com",15,"Sparkassenplatz 5, 6020 Innsbruck , Österreich",11.3943177,47.2661034,"sparkassenpl. 5, 6020 innsbruck, austria","b","ENGINEERING EQUIPMENT"
"Airborne Technologies GmbH","2017","37",NA,"Gloriettegasse 1/3
1130 Wien",NA,"Gloriettegasse 1/3
1130 Wien","Viktor Lang-Straße 82700 Wiener Neustadt","Austria | Österreich",NA,NA,"T +43 / 2622 / 347 18 200","E office@airbornetechnologies.at","W www.airbornetechnologies.at",18,"Gloriettegasse 1/3
1130 Wien , Österreich",16.2989071,48.1805405,"gloriettegasse 1, 1130 wien, austria","b","ENGINEERING EQUIPMENT"
"AIT Austrian Institute of Technology","2016 (Gruppe)","969","2016 (Gruppe): 45,87 Mio. EUR","Giefinggasse 4
1210 Wien",NA,"Giefinggasse 4, 1210 Wien","Giefinggasse 4","1210 Wien","Austria | Österreich","Michael Mürling","T +43 / 50550 / 4126","E michael.muerling@ait.ac.at","W www.ait.ac.at",19,"Giefinggasse 4, 1210 Wien , Österreich",16.4266624,48.2693843,"giefinggasse 4, 1210 wien, austria","b","TEST EQUIPMENT"
"AMST-Systemtechnik GmbH","2016","95",NA,"Lamprechtshausener Straße
5282 Braunau am Inn -Ranshofen, Oberösterreich",NA,"Lamprechtshausenerstr. 63, 5282 Ranshofen","Lamprechtshausenerstr. 63","5282 Ranshofen","Austria | Österreich","Wolfgang Lindlbauer","T +43 / 7722 / 892 - 0","E lw@amst.co.at","W www.amst.co.at",20,"Lamprechtshausenerstr. 63, 5282 Ranshofen , Österreich",13.0268938,48.2255125,"lamprechtshausener str. 63, 5282 ranshofen, austria","b","TEST EQUIPMENT"
"AT&S Austria Technologie & Systemtechnik AG","#N/A","n.v.","#N/A","#N/A",NA,"Fabriksgasse 13, 8700 Leoben","Fabriksgasse 13","8700 Leoben","Austria | Österreich","Wolfgang Brandl","T +43 / 676 / 895 578 85","E w.brandl@ats.net","W www.ats.net",21,"Fabriksgasse 13, 8700 Leoben , Österreich",15.0665272,47.3583232,"fabriksgasse 13, 8700 hinterberg, austria","b","OTHERS"
"Atlas Aerospace Elektronische Geräte Vertriebs GmbH","#N/A","n.v.","#N/A","#N/A",NA,"Muthgasse 109, 1190 Wien ","Muthgasse 109","1190 Wien ","Austria | Österreich","Philipp Muchitsch","T +43 / 1 / 320 23 88","E atlas@atlasaero.at","W www.atlasaerospace.at",22,"Muthgasse 109, 1190 Wien  , Österreich",16.3695819,48.2529738,"muthgasse 109, 1190 wien, austria","b","PERSONAL EQUIPMENT"
"AUSTRIALPIN GMBH","2016","12",NA,"Industriezone C 2a
6166 Fulpmes, Tirol",NA,"Industriezone C 2a, 6166 Fulpmes","Industriezone C 2a","6166 Fulpmes","Austria | Österreich","Robert Span","T +43 / 5225 / 652 48","E robert.span@austrialpin.at","W www.austrialpin.at",25,"Industriezone C 2a, 6166 Fulpmes , Österreich",11.3483091,47.1521124,"fulpmes, austria","b","TEST EQUIPMENT"
"AVL List GmbH","2016 (Gruppe)","9115","2016 (Gruppe): 1.385,09 Mio. EU","Hans-List-Platz 1
8020 Graz, Steiermark",NA,"Hans-List-Platz 1, 8020 Graz","Hans-List-Platz 1","8020 Graz","Austria | Österreich",NA,"T +43 / 316 / 787 - 0","E info@avl.com","W www.avl.com",27,"Hans-List-Platz 1, 8020 Graz , Österreich",15.425109,47.0778748,"hans-list-platz 1, 8020 graz, austria","b","TEST EQUIPMENT"
"BDP Ballistic & Defence Products ","#N/A","n.v.","#N/A","#N/A",NA,"Karlauergürtel 29-31, 8020 Graz","Karlauergürtel 29-31","8020 Graz","Austria | Österreich","Kurt Wiederwohl","T +43 / 316 / 714 591","E k.wiederwohl@bdp.at","W www.bdp.at",28,"Karlauergürtel 29-31, 8020 Graz , Österreich",15.434229,47.0577884,"karlauergürtel 29, 8020 graz, austria","b","VEHICLES & ACCESSORIES"
"Billitz GmbH","2016","12",NA,"Hauswiesenweg 3
2463 Gallbrunn, Niederösterreich",NA,"Hauswiesenweg, 32463 Gallbrunn","Hauswiesenweg","32463 Gallbrunn","Austria | Österreich","Michael Hofbauer","T +43 / 2230 / 711 66 - 0","E sales@billitz.com","W www.billitz.com",30,"Hauswiesenweg, 32463 Gallbrunn , Österreich",16.6414249,48.0505902,"hauswiesenweg, 2463 gallbrunn, austria","b","OTHERS"
"bit media e-solutions GmbH","2017","49",NA,"Kärntner Straße 337
8054 Graz, Steiermark",NA,"Kärntner Strasse 337, 8054 Graz","Kärntner Strasse 337","8054 Graz","Austria | Österreich","Stefan Düss","T +43 / 664 / 619 97 05","E stefan.duess@bitmedia.at","W www.bitmedia.at",31,"Kärntner Strasse 337, 8054 Graz , Österreich",15.4049969,47.0294469,"kärntner str. 337, 8054 graz, austria","b","ICT & CYBER"
"Bowas-Induplan Chemie Ges.m.b.H.","#N/A","n.v.","#N/A","#N/A",NA,"Sterneckstraße 55, 5020 Salzburg","Sterneckstraße 55","5020 Salzburg","Austria | Österreich","Gaby Brühl","T +43 / 662 / 877 671 23","E g.bruehl@bowas.com","W www.bowas-induplan.com",32,"Sterneckstraße 55, 5020 Salzburg , Österreich",13.0634861,47.810089,"sterneckstraße 55, 5020 salzburg, austria","b","DEMILITARISATION & DEMINING"
"Carbon-solutions Hintsteiner GmbH","2017","19",NA,"Kirchengasse 1
8644 Kindberg, Steiermark",NA,"Kirchengasse 1, 8644 Mürzhofen","Kirchengasse 1","8644 Mürzhofen","Austria | Österreich","Martin Hintsteiner","T +43 / 3864 / 23 36","E office@hintsteiner.at","W www.hintsteiner-group.com",33,"Kirchengasse 1, 8644 Mürzhofen , Österreich",15.3955771,47.4848094,"kirchengasse 1, 8644 mürzhofen, austria","b","VEHICLES & ACCESSORIES"
"CGS Trading Import-Export GmbH","2015","2",NA,"Lichtenauergasse 7/12
1020 Wien",NA,"Lichtenauergasse 7/12, 1020 Wien","Lichtenauergasse 7/12","1020 Wien","Austria | Österreich","Christine Grassl","T +43 / 1 / 581 05 06 - 30","E grassl@cgs-trading.com",NA,34,"Lichtenauergasse 7/12, 1020 Wien , Österreich",16.3892342,48.2146418,"lichtenauergasse 7, 1020 wien, austria","b","PERSONAL EQUIPMENT"
"charismaTec OG","n.v.","n.v.",NA,"Sandgasse 25a/5
8010 Graz, Steiermark",NA,"Sandgasse 25a/5, 8010 Graz","Sandgasse 25a/5","8010 Graz","Austria | Österreich","Sandra Slavinec","T +43 / 664 / 881 869 90","E office@charismatec.at","W www.doculuslumus.com | www.charismatec.at",35,"Sandgasse 25a/5, 8010 Graz , Österreich",15.4568061,47.0590531,"sandgasse 25a, 8010 graz, austria","b","LOGISTICS & MEDICAL & HUMANITARIAN EQUIPMENT"
"Desoma GmbH","2017","8",NA,"Jakominiplatz 12
8010 Graz, Steiermark",NA,"Jakominiplatz 12, 8010 Graz","Jakominiplatz 12","8010 Graz","Austria | Österreich","Johann Preinsberger | Adolf Schmidthuber","T +43 / 316 / 810 - 330","E info4ip@desoma.org","W www.desoma.org",40,"Jakominiplatz 12, 8010 Graz , Österreich",15.4442351,47.0674808,"jakominipl. 12, 8010 graz, austria","b","ENGINEERING SERVICES & TRAINING"
"Dlouhy GmbH","2016","103","2017: 25,23 Mio. EUR","Königstetter Straße 163 A
3430 Tulln, Niederösterreich",NA,"Königstetter Straße 163a, 3430 Tulln","Königstetter Straße 163a","3430 Tulln","Austria | Österreich","Martin Dlouhy","T +43 / 2272 / 631 00","E tulln@dlouhy.at","W www.dlouhy.at",43,"Königstetter Straße 163a, 3430 Tulln , Österreich",16.0791409,48.3213979,"königstetter str. 163a, 3430 tulln an der donau, austria","b","LOGISTICS & MEDICAL & HUMANITARIAN EQUIPMENT"
"dormakaba Austria GmbH","2017","562","2016/17: 100,50 Mio. EUR","Ulrich-Bremi-Straße 2
3130 Herzogenburg, Niederösterreich",NA,"Ulrich-Bremi-Straße 2, 3130 Herzogenburg","Ulrich-Bremi-Straße 2","3130 Herzogenburg","Austria | Österreich",NA,"T +43 / 2782 / 808 - 0","E office.at@dormakaba.com","W www.dormakaba.at",44,"Ulrich-Bremi-Straße 2, 3130 Herzogenburg , Österreich",15.7088364,48.2824812,"ulrich-bremi strasse 2, 3130 herzogenburg, austria","b","ENGINEERING SERVICES & TRAINING"
"Edelweiss Industries","#N/A","n.v.","#N/A","#N/A",NA,"Blumauerstraße 200A, 2601 Sollenau","Blumauerstraße 200A","2601 Sollenau","Austria | Österreich","Andreas Steindl","T +43 / 2628 / 483 49","E office@edelweiss.world","W www.edelweiss.world",45,"Blumauerstraße 200A, 2601 Sollenau , Österreich",16.2805866,47.9067944,"blumauerstraße 200, 2601 sollenau, austria","b","PERSONAL EQUIPMENT"
"ELMA-TECH modern technologies","#N/A","n.v.","#N/A","#N/A",NA,"Pummerinplatz 1, 4490 St. Florian","Pummerinplatz 1","4490 St. Florian","Austria | Österreich","Herbert Steinleitner","T +43 / 7224 / 412 65","E office@elma-tech.com","W www.elma-tech.com",46,"Pummerinplatz 1, 4490 St. Florian , Österreich",14.3963255,48.2099731,"pummerinpl. 1, 4490 st. florian, austria","b","ENGINEERING EQUIPMENT"
"ESL Advanced Information Technology ","#N/A","n.v.","#N/A","#N/A",NA,"Obachgasse 26, 1220 Wien","Obachgasse 26","1220 Wien","Austria | Österreich",NA,"T +43 / 1 / 256 24 53 - 0","E office@eslait.at","W www.eslait.at",48,"Obachgasse 26, 1220 Wien , Österreich",16.4625505,48.2582287,"obachgasse 26, 1220 wien, austria","b","VEHICLES & ACCESSORIES"
"eurofunk KAPPACHER GmbH","2017","378","2016/17: 44,86 Mio. EUR","Eurofunkstraße 1-8
5600 St.Johann im Pongau, Salzburg",NA,"eurofunk-Straße 1-8, 5600 St. Johann im Pongau","eurofunk-Straße 1-8","5600 St. Johann im Pongau","Austria | Österreich",NA,"T +43 57 112 - 0","E office@eurofunk.com","W www.eurofunk.com",49,"eurofunk-Straße 1-8, 5600 St. Johann im Pongau , Österreich",13.2008334,47.343528,"eurofunkstraße 1/8, 5600 plankenau, austria","b","ENGINEERING EQUIPMENT"
"fireKRAFT AUSTRIA","#N/A","n.v.","#N/A","#N/A",NA,"Industriestraße 5, 4061 Pasching","Industriestraße 5","4061 Pasching","Austria | Österreich","Thomas Kraft","T +43 / 7229 / 662 40 - 0","E office@firekraft.at","W www.firekraft.at",53,"Industriestraße 5, 4061 Pasching , Österreich",14.232985,48.245667,"industriestraße 5, 4061, austria","b","ENGINEERING EQUIPMENT"
"Flex Althofen","#N/A","n.v.","#N/A","#N/A",NA,"Friesacher Straße 3, 9330 Althofen","Friesacher Straße 3","9330 Althofen","Austria | Österreich","Günther Steger","T +43 / 4262 / 26 44 - 1611","E guenther.steger@flex.com","W www.flex.com",54,"Friesacher Straße 3, 9330 Althofen , Österreich",14.4645362,46.8747679,"friesacher str. 3, 9330 althofen, austria","b","OPTICAL EQUIPMENT & OPTO-ELECTRONICS"
"Franz Achleitner GMBH","#N/A","n.v.","#N/A","#N/A",NA,"Innsbrucker Straße 94, 6300 Wörgl","Innsbrucker Straße 94","6300 Wörgl","Austria | Österreich","Franz Achleitner","T +43 / 5337 / 66 600","E office@achleitner.com","W www.achleitner.com",56,"Innsbrucker Straße 94, 6300 Wörgl , Österreich",12.0491804,47.4794569,"innsbrucker str. 94, 6300 wörgl, austria","b","COMMUNICATION EQUIPMENT"
"FUXS GmbH","2015","2",NA,"Exerzierplatzstraße 85
8051 Graz, Steiermark",NA,"Exerzierplatzstrasse 85, 8051 Graz","Exerzierplatzstrasse 85","8051 Graz","Austria | Österreich","Franz Stuhlbacher","T +43 / 316 / 698 778 - 10","E fs@fuxs-company.com","W www.fuxs-company.com",58,"Exerzierplatzstrasse 85, 8051 Graz , Österreich",15.4107934,47.0993317,"exerzierplatzstraße 85, 8051 graz, austria","b","ENGINEERING EQUIPMENT"
"GD European Land Systems - Steyr GmbH","2017","120","2016: 18,99 Mio. EUR","Bleibtreustraße 2
1110 Wien",NA,"Bleibtreustraße 2, 1110 Wien","Bleibtreustraße 2","1110 Wien","Austria | Österreich","Michael Mock","T +43 / 1 / 760 64 - 0","E michael.mock@gdels.com","W www.gedels.com",59,"Bleibtreustraße 2, 1110 Wien , Österreich",16.4486799,48.1774363,"bleibtreustraße 2, 1110 wien, austria","b","VEHICLES & ACCESSORIES"
"GOETZLOFF Gesellschaft mbH","2016","9",NA,"Thannstraße 6
4490 St. Florian bei Linz, Oberösterreich",NA,"Thannstrasse 6, 4490 St.Florian","Thannstrasse 6","4490 St.Florian","Austria | Österreich","Joachim H. Goetzloff","T +43 / 732 / 384 027","E office@goetzloff.at","W www.goetzloff.at",61,"Thannstrasse 6, 4490 St.Florian , Österreich",14.379309,48.2047142,"thann str. 6, 4490 st. florian, austria","b","LOGISTICS & MEDICAL & HUMANITARIAN EQUIPMENT"
"HAST GmbH","#N/A","n.v.","#N/A","#N/A",NA,"Furt 43, 4754 Andrichsfurt","Furt 43","4754 Andrichsfurt","Austria | Österreich","Gottfried Koger","T +43 / 699 / 158 880 39","E g.koger@hast.cc","W www.hast.cc",63,"Furt 43, 4754 Andrichsfurt , Österreich",13.5174359,48.2543326,"furt 43, 4754 andrichsfurt, austria","b","VEHICLES & ACCESSORIES"
"HICO Group GmbH","2017","2",NA,"Salesianergasse 4 Top 4
1030 Wien",NA,"Salesianergasse 4 / Top 4, 1030 Wien","Salesianergasse 4 / Top 4","1030 Wien","Austria | Österreich",NA,"T +43 / 1 / 890 7918 - 0","E sales@HICO.com","W www.HICO.com",64,"Salesianergasse 4 / Top 4, 1030 Wien , Österreich",16.3807009,48.2007558,"salesianergasse 4/top 4, 1030 wien, austria","b","ICT & CYBER"
"HIRTENBERGER DEFENCE EUROPE GmbH","2018","90",NA,"Leobersdorfer Straße 31-33
2552 Hirtenberg, Niederösterreich",NA,"Leobersdorferstraße 31-33, 2256 Hirtenberg","Leobersdorferstraße 31-33","2256 Hirtenberg","Austria | Österreich","Roland Pittracher","T +43 / 2256 / 811 84 - 0",NA,"W hds.hirtenberger.com",65,"Leobersdorferstraße 31-33, 2256 Hirtenberg , Österreich",16.2473385,47.9412614,"leobersdorferstraße 31, 2525, austria","b","TEST EQUIPMENT"
"HPI High Pressure Instrumentation","2016","12",NA,"Überfuhrgasse 37
8020 Graz, Steiermark",NA,"Ueberfuhrgasse 37, 8010 Graz","Ueberfuhrgasse 37","8010 Graz","Austria | Österreich","Christian Holzer (Sales & Marketing)","T +43 / 316 / 680 470 0","E info@hpi-gmbh.com","W www.hpi-gmbh.com",67,"Ueberfuhrgasse 37, 8010 Graz , Österreich",15.4191019,47.0905388,"überfuhrgasse 37, 8020 graz, austria","b","ENGINEERING EQUIPMENT"
"J. Blaschke Wehrtechnik GmbH","2016","4",NA,"Wienerbergstraße 42-44
1120 Wien",NA,"Wienerbergstrasse 42-44, 1120 Wien","Wienerbergstrasse 42-44","1120 Wien","Austria | Österreich","Volker Haager","T +43 / 1 / 810 09 09","E office@blaschke.com","W www.blaschke.com",71,"Wienerbergstrasse 42-44, 1120 Wien , Österreich",16.3286644,48.1721565,"wienerbergstraße 42-44, 1120 wien, austria","b","PERSONAL EQUIPMENT"
"JOANNEUM RESEARCH - DIGITAL","#N/A","n.v.","#N/A","#N/A",NA,"Leonhardstraße 59, 8010 Graz","Leonhardstraße 59","8010 Graz","Austria | Österreich","Maria Fellner","T +43 / 316 / 876 1637","E sales.digital@joanneum.at","W www.joanneum.at/digital",72,"Leonhardstraße 59, 8010 Graz , Österreich",15.4549304,47.0739965,"leonhardstraße 59, 8010 graz, austria","b","PERSONAL EQUIPMENT"
"Kapsch BusinessCom AG","2017","984","2016/17: 279,99 Mio. EUR","Wienerbergstraße 53
1120 Wien",NA,"Wienerbergstraße 53, 1120 Wien","Wienerbergstraße 53","1120 Wien","Austria | Österreich",NA,"T +43 / 50 / 811 0","E kbc.office@kapsch.net","W www.kapsch.net",74,"Wienerbergstraße 53, 1120 Wien , Österreich",16.3312523,48.1714531,"wienerbergstraße 53, 1120 wien, austria","b","ICT & CYBER"
"KTS GmbH","2016","16",NA,"Jenschke-Straße 1
2542 Kottingbrunn, Niederösterreich",NA,"Jenschke Strasse 1, 2542 Kottingbrunn","Jenschke Strasse 1","2542 Kottingbrunn","Austria | Österreich",NA,"T +43 / 2252 / 700 318","E office@kts-cable.com","W www.kts-cable.com",77,"Jenschke Strasse 1, 2542 Kottingbrunn , Österreich",16.2536319,47.959606,"jenschkestraße 1, 2542 kottingbrunn, austria","b","ENGINEERING SERVICES & TRAINING"
"Lenzing AG","#N/A","n.v.","#N/A","#N/A",NA,"Werkstraße 2, 4860 Lenzing","Werkstraße 2","4860 Lenzing","Austria | Österreich","Oliver Spöcker","T +43 / 7672 / 701 35 05","E o.spoecker@lenzing.com","W www.lenzing.com",78,"Werkstraße 2, 4860 Lenzing , Österreich",13.6153359,47.9753394,"werkstraße 2, 4860 lenzing, austria","b","OTHERS"
"LieberLieber Software","2016","19",NA,"Handelskai 340 Top 5
1020 Wien",NA,"Handelskai 340, 1020 Wien","Handelskai 340","1020 Wien","Austria | Österreich","Konrad Wieland","T +43 / 662 / 906 00 – 20 17","E konrad.wieland@lieberlieber.com","W www.lieberlieber.com",79,"Handelskai 340, 1020 Wien , Österreich",16.4276043,48.2089014,"handelskai 340, 1020 wien, austria","b","ICT & CYBER"
"LPV gmbh","2015","1",NA,"Industriestraße I Nr. 4
2620 Neunkirchen, Niederösterreich",NA,"Industriestr. I 4, 2620 Neunkirchen","Industriestr. I 4","2620 Neunkirchen","Austria | Österreich",NA,"T +43 / 660 / 711 77 77","E uplink@satellite-telecom.net | operations@9kballistics.at","W satellite-telecom.net | 9kballistics.at",81,"Industriestr. I 4, 2620 Neunkirchen , Österreich",16.0805686,47.7208167,"hauptpl. 4, 2620 neunkirchen, austria","b","OTHERS"
"NM Robotic GmbH","2016","3",NA,"Marienhöhe 25
4391 Waldhausen im Strudengau, Oberösterreich",NA,"Marienhöhe 25, 4391 Waldhausen im Strudengau ","Marienhöhe 25","4391 Waldhausen im Strudengau ","Austria | Österreich","Michael Naderhirn","T +43 / 676 / 976 04 83","E m.naderhirn@nmrobotic.com","W www.nmrobotic.com",85,"Marienhöhe 25, 4391 Waldhausen im Strudengau  , Österreich",14.9440947,48.2760895,"marienhöhe 25, 4391 waldhausen im strudengau, austria","b","TEST EQUIPMENT"
"PALFINGER EMEA GmbH Defence Solutions","#N/A","n.v.","#N/A","#N/A",NA,"Kapellenstraße 18, 5211 Friedburg/Lengau","Kapellenstraße 18","5211 Friedburg/Lengau","Austria | Österreich","Franz Thaller | Josef Fenninger | Robert Stengel","T +43 / 7746 / 22 81 - 0","E govsales@palfinger.com","W www.palfinger.com",89,"Kapellenstraße 18, 5211 Friedburg/Lengau , Österreich",13.2236018,48.0085938,"kapellenstraße 18, 5211 lengau, austria","b","LOGISTICS & MEDICAL & HUMANITARIAN EQUIPMENT"
"Pankl Aerospace Systems Europe GmbH","2016","66",NA,"Industriestrasse West 4
8605 Kapfenberg, Steiermark",NA,"Industriestrasse West 4, 8605 Kapfenberg","Industriestrasse West 4","8605 Kapfenberg","Austria | Österreich",NA,"T +43 / 3862 / 339 99","E aerospace@pankl.com","W www.pankl.com",90,"Industriestrasse West 4, 8605 Kapfenberg , Österreich",15.3409492,47.4570557,"industriestraße west 4, 8605 pötschach, austria","b","OTHERS"
"Raetia Technologies GmbH","2016","0",NA,"Ladestraße 8
6370 Kitzbühel, Tirol",NA,"Ladestrasse 8, 6370 Kitzbühel","Ladestrasse 8","6370 Kitzbühel","Austria | Österreich","Nikolaus Kramheller","T +43 / 676 / 397 02 21","E nk@raetia-tec.at","W www.raetia-tec.at",95,"Ladestrasse 8, 6370 Kitzbühel , Österreich",12.3925407,47.4492375,"6370 kitzbuhel, austria","b","OTHERS"
"Raytech VertriebsgmbH","#N/A","n.v.","#N/A","#N/A",NA,"Johann Steinböck-Straße 12, 2345 Brunn am Gebirge","Johann Steinböck-Straße 12","2345 Brunn am Gebirge","Austria | Österreich",NA,"T +43 / 2236 / 90 300","E sales@raytech-group.com","W raytech-group.com",96,"Johann Steinböck-Straße 12, 2345 Brunn am Gebirge , Österreich",16.308713,48.1078929,"johann steinböck-straße 12, 2345 brunn am gebirge, austria","b","COMMUNICATION EQUIPMENT"
"REPUCO Unternehmensberatung GmbH","2017","4",NA,"Frankenberggasse 9/5
1040 Wien",NA,"Frankenberggasse 9/5, 1040 Wien","Frankenberggasse 9/5","1040 Wien","Austria | Österreich","Wolfgang Gattringer","T +43 / 1 / 886 56 29","E office@repuco.at","W www.repuco.at",97,"Frankenberggasse 9/5, 1040 Wien , Österreich",16.3685488,48.1973111,"frankenberggasse 9/5, 1040 wien, austria","b","OTHERS"
"RESCO Consulting GmbH","2015","3",NA,"Hauptstraße 151
8141 Unterpremstätten, Steiermark",NA,"Hauptstraße 151, 8141 Premstätten","Hauptstraße 151","8141 Premstätten","Austria | Österreich",NA,"T +43 / 3136 / 529 89","E office@resco.cc","W www.resco.cc",98,"Hauptstraße 151, 8141 Premstätten , Österreich",15.4037872,46.9708389,"hauptstraße 151, 8141 unterpremstätten, austria","b","TEST EQUIPMENT"
